,ID,worst_perf_1,worst_perf_3,worst_perf_6,worst_perf_12,worst_perf_gen
251,5002101,-1,-1,-1,-1,0
252,5002104,-1,-1,-1,-1,0
253,5002105,-1,-1,-1,-1,1
254,5002106,-1,-1,-1,0,0
255,5002107,-1,-1,-1,0,0
256,5002108,-1,-1,-1,-1,1
257,5002109,-1,-1,-1,0,0
258,5002110,0,0,0,0,0
259,5002111,0,0,0,0,0
260,5002112,-1,-1,-1,-1,-1
261,5002115,-1,-1,-1,-1,0
262,5002116,-1,-1,-1,-1,0
263,5002118,0,0,0,0,0
264,5002120,-1,-1,-1,-1,0
265,5002121,0,0,0,0,0
266,5002123,-1,1,1,1,1
267,5002124,0,0,0,0,0
268,5002126,-1,-1,-1,-1,3
269,5002128,-1,-1,-1,-1,1
270,5002130,0,0,0,0,0
271,5002131,0,0,0,0,0
272,5002134,-1,-1,-1,-1,0
273,5002138,0,0,0,0,0
274,5002140,-1,-1,-1,-1,0
275,5002141,-1,-1,-1,-1,0
276,5002142,0,0,0,0,0
277,5002144,-1,-1,-1,0,0
278,5002145,0,0,0,0,0
279,5002146,-1,-1,-1,-1,0
280,5002148,0,0,0,0,0
281,5002149,-1,-1,0,0,0
282,5002150,-1,-1,-1,-1,0
283,5002154,0,0,0,1,1
284,5002155,-1,-1,-1,-1,0
285,5002156,-1,-1,-1,-1,0
286,5002157,0,0,0,0,0
287,5002158,-1,-1,-1,-1,0
288,5002160,0,0,0,0,0
289,5002161,-1,-1,-1,0,0
290,5002162,-1,-1,-1,0,0
291,5002163,-1,-1,-1,-1,0
292,5002164,-1,-1,-1,-1,0
293,5002165,0,0,0,0,0
294,5002168,0,0,0,0,0
295,5002169,0,0,0,0,0
296,5002170,0,0,0,0,0
297,5002171,-1,-1,-1,-1,0
298,5002175,-1,-1,-1,-1,-1
299,5002181,0,0,0,0,0
300,5002182,0,0,0,0,0
301,5002183,0,0,0,0,0
302,5002186,0,0,0,0,0
303,5002189,-1,-1,0,0,0
304,5002190,0,0,0,0,0
305,5002191,-1,-1,-1,0,0
306,5002192,0,0,0,0,0
307,5002194,0,0,0,0,0
308,5002196,0,0,0,0,0
309,5002197,0,0,0,0,0
310,5002201,-1,-1,-1,-1,0
311,5002202,-1,-1,-1,-1,0
312,5002203,0,0,0,0,0
313,5002204,0,0,0,0,0
314,5002205,0,0,0,0,0
315,5002206,-1,-1,-1,0,0
316,5002207,0,0,0,0,0
317,5002208,-1,-1,-1,-1,0
318,5002209,0,0,0,0,0
319,5002216,0,0,0,0,0
320,5002217,0,0,0,0,0
321,5002218,-1,-1,-1,0,0
322,5002219,-1,-1,-1,0,1
323,5002220,-1,-1,-1,-1,1
324,5002221,-1,-1,-1,-1,0
325,5002222,-1,-1,-1,0,0
326,5002225,0,1,1,1,1
327,5002227,-1,-1,0,0,0
328,5002229,-1,-1,-1,-1,-1
329,5002230,0,0,0,0,1
330,5002231,-1,-1,-1,-1,0
331,5002232,0,0,0,1,1
332,5002233,0,0,0,0,0
333,5002234,-1,-1,-1,-1,0
334,5002236,0,0,0,0,0
335,5002237,0,0,0,0,0
336,5002238,0,0,0,0,0
337,5002239,-1,-1,-1,-1,0
338,5002241,0,0,0,0,0
339,5002242,-1,-1,0,0,0
340,5002243,-1,-1,-1,0,0
341,5002244,-1,-1,-1,-1,0
342,5002245,0,0,0,1,1
343,5002246,-1,-1,-1,-1,0
344,5002247,-1,-1,-1,-1,0
345,5002248,0,0,0,0,0
346,5002249,0,0,0,0,0
347,5002250,0,0,0,0,0
348,5002253,0,1,1,1,1
349,5002254,0,0,0,1,1
350,5002255,0,1,2,2,2
351,5002256,-1,-1,-1,0,0
352,5002257,-1,-1,-1,-1,0
353,5002258,-1,-1,-1,-1,0
354,5002259,-1,-1,-1,-1,0
355,5002260,-1,-1,-1,-1,0
356,5002262,-1,-1,0,0,0
357,5002263,0,0,0,0,0
358,5002264,-1,-1,-1,-1,0
359,5002265,0,0,0,0,0
360,5002266,-1,-1,-1,0,0
361,5002267,-1,-1,-1,-1,0
362,5002268,0,0,0,0,0
363,5002270,0,0,0,0,0
364,5002271,-1,-1,-1,0,0
365,5002274,-1,1,1,1,1
366,5002275,0,0,0,0,0
367,5002276,0,0,0,0,0
368,5002277,0,0,0,0,0
369,5002278,0,0,0,0,0
370,5002279,-1,-1,-1,-1,1
371,5002280,-1,-1,-1,-1,0
372,5002283,-1,-1,-1,-1,2
373,5002286,-1,-1,-1,-1,0
374,5002287,-1,-1,-1,-1,0
375,5002289,-1,-1,0,0,0
376,5002291,0,0,0,0,0
377,5002292,0,0,0,0,0
378,5002293,0,0,0,0,0
379,5002294,0,0,0,0,0
380,5002296,0,0,0,0,0
381,5002297,-1,-1,-1,-1,1
382,5002298,-1,-1,-1,-1,0
383,5002299,-1,-1,-1,-1,0
384,5002300,-1,-1,-1,-1,0
385,5002301,0,0,0,0,0
386,5002302,0,0,0,0,0
387,5002303,0,0,0,2,2
388,5002309,-1,-1,-1,-1,0
389,5002310,0,0,0,0,0
390,5002311,0,0,0,0,0
391,5002312,0,0,0,0,0
392,5002313,0,0,0,0,0
393,5002314,-1,-1,-1,-1,0
394,5002315,-1,-1,-1,-1,0
395,5002316,-1,-1,-1,-1,0
396,5002317,-1,-1,-1,-1,0
397,5002320,-1,-1,-1,-1,0
398,5002321,-1,-1,-1,-1,0
399,5002322,0,0,0,0,0
400,5002323,-1,-1,-1,-1,0
401,5002324,0,0,0,0,0
402,5002325,-1,-1,-1,-1,0
403,5002326,-1,-1,-1,-1,0
404,5002330,-1,-1,-1,-1,0
405,5002331,-1,-1,1,1,1
406,5002332,0,0,0,0,0
407,5002333,-1,-1,-1,-1,0
408,5002342,0,0,0,0,0
409,5002343,-1,0,0,0,0
410,5002344,0,0,0,0,0
411,5002345,0,0,0,0,0
412,5002346,-1,-1,-1,-1,0
413,5002347,-1,-1,-1,-1,0
414,5002348,-1,-1,-1,-1,-1
415,5002349,0,0,0,0,0
416,5002350,0,0,0,0,0
417,5002351,-1,-1,-1,-1,0
418,5002352,-1,-1,-1,-1,0
419,5002353,-1,-1,-1,-1,0
420,5002354,-1,-1,-1,0,0
421,5002355,0,0,0,0,0
422,5002356,0,0,0,0,0
423,5002360,0,0,0,0,0
424,5002365,0,0,0,0,0
425,5002368,0,0,0,0,0
426,5002369,-1,-1,-1,0,0
427,5002370,1,1,1,1,1
428,5002373,-1,-1,-1,-1,1
429,5002374,-1,-1,-1,-1,0
430,5002375,0,0,0,0,0
431,5002380,-1,-1,2,2,2
432,5002381,-1,-1,-1,-1,1
433,5002384,-1,-1,-1,-1,0
434,5002385,-1,-1,-1,-1,0
435,5002390,-1,-1,-1,-1,0
436,5002391,-1,-1,-1,-1,0
437,5002392,-1,-1,-1,-1,0
438,5002394,-1,-1,-1,-1,0
439,5002395,-1,-1,-1,-1,0
440,5002396,0,0,0,0,0
441,5002397,0,0,0,0,0
442,5002398,0,0,0,0,0
443,5002399,0,0,0,0,0
444,5002402,0,0,0,0,0
445,5002403,0,0,0,0,0
446,5002404,0,0,0,0,0
447,5002405,-1,-1,-1,-1,0
448,5002409,0,0,0,0,0
449,5002410,0,0,0,0,0
450,5002411,-1,-1,-1,0,0
451,5002412,-1,-1,-1,0,0
452,5002413,0,1,1,1,1
453,5002418,-1,-1,-1,0,0
454,5002420,0,0,0,0,0
455,5002421,0,0,0,0,0
456,5002422,0,0,0,0,0
457,5002424,-1,-1,0,0,0
458,5002425,-1,-1,-1,-1,0
459,5002426,-1,-1,-1,-1,0
460,5002427,-1,-1,-1,-1,0
461,5002428,-1,-1,-1,-1,1
462,5002429,0,0,0,0,0
463,5002430,0,0,0,0,0
464,5002431,0,0,0,0,0
465,5002432,-1,-1,-1,-1,0
466,5002433,-1,-1,-1,-1,1
467,5002434,0,0,0,0,0
468,5002435,0,0,0,0,0
469,5002436,-1,-1,-1,-1,0
470,5002437,0,0,0,0,0
471,5002438,0,0,0,0,0
472,5002439,-1,-1,-1,0,0
473,5002441,0,0,0,0,0
474,5002443,0,0,0,0,0
475,5002444,0,0,0,0,0
476,5002445,0,0,0,0,0
477,5002446,0,0,0,1,1
478,5002447,0,0,0,0,0
479,5002448,0,0,0,0,0
480,5002449,0,0,0,0,0
481,5002450,-1,-1,-1,-1,0
482,5002453,-1,-1,-1,-1,0
483,5002454,-1,-1,-1,-1,0
484,5002455,0,0,0,0,0
485,5002456,-1,-1,0,0,0
486,5002457,0,0,0,0,0
487,5002458,0,0,0,0,0
488,5002459,0,0,0,0,0
489,5002460,-1,-1,-1,0,0
490,5002462,-1,-1,-1,-1,0
491,5002465,-1,-1,-1,-1,0
492,5002467,0,0,0,0,0
493,5002474,-1,-1,-1,-1,0
494,5002475,0,0,0,0,0
495,5002476,0,0,0,0,0
496,5002477,0,0,0,0,0
497,5002479,-1,-1,-1,-1,0
498,5002481,0,0,0,0,0
499,5002482,-1,-1,-1,-1,1
500,5002483,0,0,0,0,0
501,5002484,-1,-1,-1,-1,0
502,5002485,0,0,0,0,0
503,5002486,0,0,0,0,0
504,5002487,0,0,0,0,0
505,5002488,-1,-1,-1,-1,1
506,5002489,0,0,0,1,1
507,5002490,-1,-1,-1,-1,0
508,5002491,0,0,0,0,0
509,5002492,-1,-1,-1,-1,0
510,5002501,-1,-1,-1,-1,1
511,5002502,-1,-1,-1,-1,1
512,5002505,0,0,0,0,0
513,5002507,1,1,1,1,1
514,5002508,0,0,0,0,0
515,5002509,0,0,0,0,0
516,5002510,-1,-1,-1,-1,0
517,5002511,-1,-1,-1,-1,0
518,5002512,0,0,0,0,0
519,5002514,-1,-1,-1,-1,0
520,5002518,-1,-1,-1,-1,0
521,5002519,-1,-1,-1,-1,0
522,5002520,0,0,0,0,0
523,5002521,0,0,0,0,0
524,5002523,-1,-1,-1,-1,0
525,5002524,-1,-1,-1,-1,0
526,5002525,-1,-1,-1,-1,0
527,5002526,-1,-1,-1,-1,-1
528,5002527,0,0,0,0,0
529,5002528,-1,-1,-1,-1,0
530,5002533,0,0,0,0,0
531,5002534,0,0,0,0,0
532,5002537,0,0,0,0,0
533,5002538,0,0,1,1,1
534,5002539,0,0,0,0,0
535,5002540,0,0,0,0,0
536,5002541,-1,-1,-1,-1,0
537,5002543,-1,-1,-1,-1,0
538,5002544,0,0,0,1,1
539,5002545,1,1,1,1,1
540,5002547,0,0,0,0,0
541,5002548,0,0,0,0,0
542,5002550,-1,-1,-1,-1,0
543,5002551,0,0,0,0,0
544,5002554,-1,-1,-1,-1,0
545,5002555,0,0,0,0,0
546,5002556,0,0,0,0,0
547,5002557,0,0,0,0,0
548,5002558,0,0,0,0,0
549,5002559,0,1,1,1,1
550,5002560,-1,-1,-1,-1,0
551,5002564,-1,-1,-1,-1,0
552,5002565,-1,-1,-1,-1,0
553,5002566,-1,-1,-1,-1,0
554,5002567,-1,-1,-1,-1,0
555,5002568,0,1,1,1,1
556,5002570,-1,-1,-1,-1,0
557,5002571,-1,-1,-1,-1,0
558,5002572,-1,-1,-1,-1,0
559,5002573,-1,-1,-1,0,0
560,5002574,0,0,0,0,0
561,5002575,0,0,0,0,1
562,5002576,0,0,0,0,0
563,5002578,0,0,0,0,0
564,5002579,-1,-1,-1,-1,0
565,5002581,0,0,0,0,0
566,5002582,0,0,0,0,0
567,5002583,0,0,0,0,0
568,5002584,0,0,0,0,0
569,5002585,-1,-1,-1,-1,0
570,5002586,-1,-1,-1,-1,0
571,5002587,-1,-1,-1,-1,-1
572,5002588,-1,-1,-1,-1,0
573,5002589,0,0,0,0,0
574,5002590,0,0,0,0,0
575,5002591,-1,-1,-1,-1,0
576,5002592,-1,-1,-1,-1,0
577,5002593,-1,-1,-1,-1,0
578,5002594,-1,-1,-1,-1,0
579,5002595,-1,-1,-1,-1,1
580,5002597,0,0,0,0,0
581,5002598,0,0,0,0,0
582,5002599,-1,-1,-1,-1,0
583,5002601,-1,-1,-1,-1,0
584,5002602,-1,-1,-1,-1,0
585,5002603,-1,0,0,0,0
586,5002604,-1,-1,-1,-1,0
587,5002605,0,0,0,0,0
588,5002606,-1,-1,-1,-1,0
589,5002607,-1,0,0,0,0
590,5002608,0,0,0,0,0
591,5002609,-1,-1,-1,-1,0
592,5002611,-1,-1,-1,-1,0
593,5002612,0,0,0,0,0
594,5002615,-1,-1,-1,-1,0
595,5002616,0,0,0,0,0
596,5002617,-1,-1,0,0,0
597,5002619,-1,-1,-1,-1,0
598,5002621,-1,0,0,0,0
599,5002622,0,0,0,0,0
600,5002623,0,0,0,0,0
601,5002624,0,0,0,0,0
602,5002626,-1,-1,-1,-1,0
603,5002628,0,0,0,0,0
604,5002629,0,0,0,0,0
605,5002633,0,0,0,0,0
606,5002636,0,0,0,0,0
607,5002637,0,0,0,0,0
608,5002638,1,1,1,1,1
609,5002639,-1,-1,-1,-1,1
610,5002642,-1,-1,-1,-1,2
611,5002644,-1,-1,-1,-1,0
612,5002645,0,0,0,0,0
613,5002646,-1,-1,-1,0,0
614,5002647,0,0,0,0,0
615,5002649,0,0,0,0,0
616,5002650,-1,-1,-1,-1,0
617,5002651,0,0,0,0,0
618,5002654,0,0,0,0,0
619,5002660,-1,-1,-1,-1,0
620,5002661,0,0,0,0,0
621,5002662,0,0,0,0,0
622,5002665,-1,-1,-1,-1,0
623,5002666,-1,-1,-1,-1,0
624,5002667,0,0,0,0,0
625,5002668,-1,-1,-1,-1,0
626,5002669,-1,-1,-1,-1,0
627,5002670,0,0,0,0,0
628,5002671,0,0,0,0,0
629,5002672,-1,-1,-1,-1,0
630,5002674,-1,-1,-1,-1,0
631,5002675,0,0,0,0,0
632,5002677,-1,-1,0,0,0
633,5002679,-1,-1,-1,-1,0
634,5002680,0,0,0,0,0
635,5002686,0,0,0,0,0
636,5002688,0,0,0,0,0
637,5002690,0,0,0,0,0
638,5002691,-1,-1,-1,0,0
639,5002695,-1,-1,-1,0,1
640,5002696,-1,-1,0,0,0
641,5002697,0,0,0,0,0
642,5002698,-1,-1,-1,-1,0
643,5002700,-1,-1,0,0,0
644,5002701,-1,-1,-1,-1,0
645,5002702,0,0,0,0,0
646,5002703,-1,-1,-1,-1,0
647,5002708,0,0,0,0,0
648,5002709,-1,-1,-1,-1,0
649,5002710,0,0,0,0,0
650,5002711,0,0,0,0,0
651,5002715,0,0,0,1,1
652,5002716,0,0,0,0,0
653,5002717,0,1,1,1,2
654,5002718,0,0,0,0,0
655,5002719,1,1,1,1,1
656,5002720,1,1,1,1,1
657,5002722,-1,-1,-1,-1,0
658,5002723,0,0,0,0,0
659,5002727,-1,-1,-1,-1,0
660,5002728,0,0,0,0,0
661,5002729,-1,-1,-1,-1,0
662,5002730,0,0,0,0,0
663,5002731,0,0,0,0,0
664,5002732,0,0,0,0,0
665,5002733,-1,-1,-1,-1,0
666,5002734,-1,-1,-1,-1,1
667,5002735,-1,-1,-1,-1,0
668,5002737,0,0,0,0,0
669,5002738,0,0,0,0,0
670,5002739,-1,-1,0,0,0
671,5002740,0,0,0,0,0
672,5002741,-1,-1,0,0,0
673,5002742,0,0,0,0,0
674,5002743,-1,-1,-1,-1,0
675,5002744,-1,-1,-1,-1,1
676,5002747,-1,-1,-1,-1,0
677,5002749,-1,-1,-1,-1,0
678,5002750,-1,-1,-1,-1,0
679,5002753,-1,-1,-1,-1,0
680,5002754,-1,-1,-1,-1,0
681,5002755,0,0,0,0,0
682,5002756,0,0,0,0,0
683,5002757,0,0,0,0,0
684,5002758,-1,-1,-1,-1,0
685,5002759,-1,0,0,0,0
686,5002760,-1,-1,-1,-1,0
687,5002762,0,0,0,0,0
688,5002763,0,0,0,0,0
689,5002765,0,0,0,0,0
690,5002766,-1,-1,-1,-1,1
691,5002768,0,0,0,0,0
692,5002769,-1,0,0,0,0
693,5002770,-1,-1,-1,-1,0
694,5002779,-1,-1,-1,-1,0
695,5002780,-1,-1,-1,-1,0
696,5002781,-1,-1,-1,0,0
697,5002782,-1,-1,-1,-1,0
698,5002783,-1,-1,-1,-1,0
699,5002784,0,0,0,0,1
700,5002788,-1,-1,-1,0,0
701,5002789,0,0,0,0,0
702,5002790,-1,-1,-1,0,0
703,5002791,0,0,0,0,0
704,5002792,0,0,0,0,0
705,5002793,-1,-1,-1,-1,1
706,5002795,-1,-1,-1,-1,2
707,5002796,-1,-1,-1,-1,1
708,5002798,0,0,0,0,0
709,5002799,-1,-1,-1,-1,0
710,5002804,-1,-1,-1,0,0
711,5002805,0,0,0,0,0
712,5002806,0,0,0,0,0
713,5002807,0,0,0,0,0
714,5002808,0,1,1,1,1
715,5002809,1,1,1,1,1
716,5002810,0,1,1,1,1
717,5002811,-1,-1,-1,-1,1
718,5002812,-1,-1,-1,-1,1
719,5002813,-1,-1,-1,1,1
720,5002814,-1,-1,-1,-1,0
721,5002815,0,0,0,0,0
722,5002817,-1,-1,-1,-1,0
723,5002818,0,0,0,0,0
724,5002820,0,0,0,0,0
725,5002821,-1,-1,-1,-1,-1
726,5002825,-1,-1,-1,-1,0
727,5002827,-1,-1,0,0,0
728,5002828,-1,-1,-1,-1,0
729,5002829,0,0,0,0,0
730,5002830,-1,-1,-1,0,0
731,5002831,-1,-1,-1,-1,1
732,5002832,0,0,0,0,0
733,5002833,0,0,0,0,0
734,5002837,0,0,0,0,0
735,5002840,-1,-1,-1,-1,1
736,5002841,1,1,1,1,1
737,5002843,-1,-1,-1,-1,1
738,5002844,-1,-1,0,0,1
739,5002845,0,0,0,0,0
740,5002846,0,0,0,0,0
741,5002847,0,0,0,1,1
742,5002848,-1,-1,-1,-1,0
743,5002849,-1,-1,-1,-1,0
744,5002850,-1,-1,0,0,0
745,5002851,0,0,0,0,0
746,5002852,0,0,0,0,0
747,5002853,0,0,0,1,1
748,5002854,-1,-1,-1,1,1
749,5002856,0,0,0,1,1
750,5002857,-1,-1,-1,-1,1
751,5002862,-1,-1,-1,-1,0
752,5002863,-1,-1,-1,-1,0
753,5002864,-1,-1,-1,-1,0
754,5002865,0,0,0,0,0
755,5002866,0,0,0,0,0
756,5002867,-1,-1,-1,-1,0
757,5002869,0,0,0,0,0
758,5002870,-1,-1,-1,-1,0
759,5002871,-1,-1,-1,0,0
760,5002874,-1,-1,-1,-1,-1
761,5002878,0,0,0,0,0
762,5002879,-1,-1,-1,-1,-1
763,5002882,0,0,0,0,0
764,5002883,0,0,0,0,0
765,5002884,0,1,1,1,1
766,5002886,-1,-1,-1,-1,0
767,5002887,-1,-1,-1,-1,0
768,5002888,0,0,0,0,0
769,5002889,-1,-1,-1,-1,0
770,5002890,-1,-1,-1,0,0
771,5002893,-1,-1,-1,-1,0
772,5002894,-1,-1,-1,-1,-1
773,5002895,-1,-1,-1,-1,0
774,5002896,-1,-1,-1,-1,0
